rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
68,frame_0288.jpg,115.2,0.5235,0.459,0.5,0.72,5,4,FALSE,FALSE
69,frame_0018.jpg,7.2,0.5227,0.4953,0.25,1,5,2,FALSE,FALSE
70,frame_0302.jpg,120.8,0.521,0.6569,0.375,0.4,4,3,FALSE,FALSE
71,frame_0306.jpg,122.4,0.5181,0.6403,0.5,0.24,5,4,FALSE,FALSE
72,frame_0123.jpg,49.2,0.5164,0.5518,0.375,0.64,5,3,FALSE,FALSE
73,frame_0167.jpg,66.8,0.5127,0.5604,0.375,0.6,6,3,FALSE,FALSE
74,frame_0287.jpg,114.8,0.5124,0.6028,0.25,0.68,4,2,FALSE,FALSE
75,frame_0301.jpg,120.4,0.5123,0.5486,0.5,0.44,5,4,FALSE,FALSE
76,frame_0320.jpg,128,0.5121,0.5531,0.625,0.24,6,5,FALSE,FALSE
77,frame_0274.jpg,109.6,0.5102,0.5814,0.625,0.16,7,5,FALSE,FALSE
78,frame_0010.jpg,4,0.5096,0.5442,0.125,1,2,1,FALSE,FALSE
79,frame_0020.jpg,8,0.5093,0.4687,0.25,1,3,2,FALSE,FALSE
80,frame_0169.jpg,67.6,0.5093,0.6606,0.25,0.52,6,2,FALSE,FALSE
81,frame_0373.jpg,149.2,0.5079,0.5768,0.625,0.16,8,5,FALSE,FALSE
82,frame_0277.jpg,110.8,0.5076,0.6781,0.375,0.28,8,3,FALSE,FALSE
83,frame_0378.jpg,151.2,0.5073,0.6076,0.625,0.08,9,5,FALSE,FALSE
84,frame_0105.jpg,42,0.4998,0.6675,0.5,0.08,7,4,FALSE,FALSE
85,frame_0303.jpg,121.2,0.4995,0.6301,0.375,0.36,6,3,FALSE,FALSE
86,frame_0375.jpg,150,0.4985,0.7669,0.25,0.2,8,2,FALSE,FALSE
87,frame_0370.jpg,148,0.4968,0.6776,0.5,0.04,9,4,FALSE,FALSE
88,frame_0285.jpg,114,0.4946,0.5992,0.25,0.6,5,2,FALSE,FALSE
89,frame_0096.jpg,38.4,0.4931,0.6383,0.5,0.12,5,4,FALSE,FALSE
90,frame_0002.jpg,0.8,0.4924,0.4348,0.25,1,6,2,FALSE,FALSE
91,frame_0315.jpg,126,0.4905,0.7081,0.375,0.12,6,3,FALSE,FALSE
92,frame_0083.jpg,33.2,0.4889,0.5719,0.25,0.64,2,2,FALSE,FALSE
93,frame_0009.jpg,3.6,0.4877,0.4254,0.25,1,2,2,FALSE,FALSE
94,frame_0085.jpg,34,0.484,0.594,0.25,0.56,4,2,FALSE,FALSE
95,frame_0183.jpg,73.2,0.4803,0.7196,0.375,0.04,4,3,FALSE,FALSE
96,frame_0389.jpg,155.6,0.4771,0.6063,0.5,0.12,6,4,FALSE,FALSE
97,frame_0284.jpg,113.6,0.4764,0.5787,0.25,0.56,5,2,FALSE,FALSE
98,frame_0082.jpg,32.8,0.4754,0.5288,0.25,0.68,3,2,FALSE,FALSE
99,frame_0384.jpg,153.6,0.4747,0.5853,0.5,0.16,7,4,FALSE,FALSE
100,frame_0127.jpg,50.8,0.4746,0.4792,0.25,0.8,7,2,FALSE,FALSE
101,frame_0296.jpg,118.4,0.4746,0.4681,0.375,0.64,6,3,FALSE,FALSE
102,frame_0329.jpg,131.6,0.4744,0.6167,0.5,0.08,10,4,FALSE,FALSE
103,frame_0184.jpg,73.6,0.4738,0.6157,0.5,0.08,5,4,FALSE,FALSE
104,frame_0095.jpg,38,0.4737,0.5833,0.5,0.16,6,4,FALSE,FALSE
105,frame_0399.jpg,159.6,0.4725,0.608,0.375,0.28,6,3,FALSE,FALSE
106,frame_0231.jpg,92.4,0.4722,0.5054,0.625,0.16,7,5,FALSE,FALSE
107,frame_0396.jpg,158.4,0.4722,0.6555,0.375,0.16,6,3,FALSE,FALSE
108,frame_0317.jpg,126.8,0.4718,0.5637,0.5,0.2,6,4,FALSE,FALSE
109,frame_0019.jpg,7.6,0.4714,0.4679,0.125,1,2,1,FALSE,FALSE
110,frame_0283.jpg,113.2,0.4704,0.5078,0.375,0.52,5,3,FALSE,FALSE
111,frame_0089.jpg,35.6,0.4703,0.4806,0.5,0.4,5,4,FALSE,FALSE
112,frame_0027.jpg,10.8,0.4692,0.3883,0.25,1,3,2,FALSE,FALSE
113,frame_0332.jpg,132.8,0.4667,0.6923,0.375,0.04,8,3,FALSE,FALSE
114,frame_0395.jpg,158,0.4664,0.5848,0.5,0.12,6,4,FALSE,FALSE
115,frame_0186.jpg,74.4,0.4647,0.5384,0.625,0.04,9,5,FALSE,FALSE
116,frame_0133.jpg,53.2,0.4641,0.3782,0.25,1,4,2,FALSE,FALSE
117,frame_0292.jpg,116.8,0.4641,0.4582,0.25,0.8,5,2,FALSE,FALSE
118,frame_0382.jpg,152.8,0.4607,0.6644,0.375,0.08,7,3,FALSE,FALSE
119,frame_0391.jpg,156.4,0.4596,0.6031,0.5,0.04,9,4,FALSE,FALSE
120,frame_0209.jpg,83.6,0.4588,0.4796,0.25,0.72,3,2,FALSE,FALSE
121,frame_0289.jpg,115.6,0.4544,0.5298,0.125,0.76,5,1,FALSE,FALSE
122,frame_0111.jpg,44.4,0.4516,0.6891,0.25,0.16,3,2,FALSE,FALSE
123,frame_0078.jpg,31.2,0.4501,0.4142,0.25,0.84,5,2,FALSE,FALSE
124,frame_0115.jpg,46,0.4501,0.4722,0.5,0.32,5,4,FALSE,FALSE
125,frame_0103.jpg,41.2,0.4498,0.5356,0.5,0.16,5,4,FALSE,FALSE
126,frame_0216.jpg,86.4,0.449,0.6469,0.125,0.44,3,1,FALSE,FALSE
127,frame_0210.jpg,84,0.4484,0.3997,0.375,0.68,3,3,FALSE,FALSE
128,frame_0300.jpg,120,0.4482,0.4794,0.375,0.48,5,3,FALSE,FALSE
129,frame_0290.jpg,116,0.4478,0.5006,0.125,0.8,6,1,FALSE,FALSE
130,frame_0011.jpg,4.4,0.4477,0.4204,0.125,1,4,1,FALSE,FALSE
131,frame_0316.jpg,126.4,0.4475,0.531,0.5,0.16,6,4,FALSE,FALSE
132,frame_0125.jpg,50,0.4469,0.3808,0.375,0.72,6,3,FALSE,FALSE
133,frame_0028.jpg,11.2,0.4461,0.3423,0.25,1,4,2,FALSE,FALSE
134,frame_0120.jpg,48,0.4458,0.5336,0.25,0.52,4,2,FALSE,FALSE
135,frame_0087.jpg,34.8,0.4439,0.5458,0.25,0.48,3,2,FALSE,FALSE
136,frame_0188.jpg,75.2,0.4433,0.5706,0.5,0.04,6,4,FALSE,FALSE
137,frame_0098.jpg,39.2,0.443,0.57,0.5,0.04,5,4,FALSE,FALSE
138,frame_0114.jpg,45.6,0.4401,0.4683,0.5,0.28,7,4,FALSE,FALSE
139,frame_0305.jpg,122,0.4393,0.5416,0.375,0.28,5,3,FALSE,FALSE
140,frame_0371.jpg,148.4,0.4387,0.5454,0.5,0.08,7,4,FALSE,FALSE
141,frame_0279.jpg,111.6,0.4354,0.5768,0.25,0.36,6,2,FALSE,FALSE
142,frame_0385.jpg,154,0.4315,0.5581,0.375,0.2,8,3,FALSE,FALSE
143,frame_0327.jpg,130.8,0.4233,0.6805,0.25,0.04,9,2,FALSE,FALSE
144,frame_0014.jpg,5.6,0.4214,0.4428,0,1,3,0,FALSE,FALSE
145,frame_0322.jpg,128.8,0.4204,0.5519,0.375,0.16,5,3,FALSE,FALSE
146,frame_0185.jpg,74,0.4185,0.655,0.25,0.08,7,2,FALSE,FALSE
147,frame_0106.jpg,42.4,0.4161,0.6662,0.25,0.04,7,2,FALSE,FALSE
148,frame_0081.jpg,32.4,0.4149,0.3918,0.25,0.72,4,2,FALSE,FALSE
149,frame_0390.jpg,156,0.4125,0.568,0.375,0.08,6,3,FALSE,FALSE
150,frame_0321.jpg,128.4,0.4121,0.4441,0.5,0.2,6,4,FALSE,FALSE
151,frame_0299.jpg,119.6,0.4116,0.4652,0.25,0.52,6,2,FALSE,FALSE
152,frame_0113.jpg,45.2,0.41,0.499,0.375,0.24,5,3,FALSE,FALSE
153,frame_0281.jpg,112.4,0.4098,0.6435,0,0.44,3,0,FALSE,FALSE
154,frame_0333.jpg,133.2,0.4079,0.5589,0.375,0.08,7,3,FALSE,FALSE
155,frame_0233.jpg,93.2,0.407,0.643,0.125,0.24,5,1,FALSE,FALSE
156,frame_0119.jpg,47.6,0.4064,0.4708,0.25,0.48,4,2,FALSE,FALSE
157,frame_0097.jpg,38.8,0.4061,0.5551,0.375,0.08,5,3,FALSE,FALSE
158,frame_0021.jpg,8.4,0.404,0.258,0.25,1,6,2,FALSE,FALSE
159,frame_0094.jpg,37.6,0.4034,0.5768,0.25,0.2,4,2,FALSE,FALSE
160,frame_0229.jpg,91.6,0.4001,0.4681,0.5,0.08,8,4,FALSE,FALSE
161,frame_0084.jpg,33.6,0.3993,0.4086,0.25,0.6,4,2,FALSE,FALSE
162,frame_0225.jpg,90,0.3977,0.5385,0.375,0.08,5,3,FALSE,FALSE
163,frame_0381.jpg,152.4,0.3972,0.5534,0.375,0.04,6,3,FALSE,FALSE
164,frame_0024.jpg,9.6,0.3953,0.3156,0.125,1,3,1,FALSE,FALSE
165,frame_0383.jpg,153.2,0.3941,0.5151,0.375,0.12,7,3,FALSE,FALSE
166,frame_0319.jpg,127.6,0.3915,0.446,0.375,0.28,6,3,FALSE,FALSE
167,frame_0207.jpg,82.8,0.3876,0.3052,0.25,0.8,3,2,FALSE,FALSE
168,frame_0228.jpg,91.2,0.3857,0.5304,0.375,0.04,4,3,FALSE,FALSE
169,frame_0272.jpg,108.8,0.3855,0.5139,0.375,0.08,3,3,FALSE,FALSE
170,frame_0121.jpg,48.4,0.3849,0.4708,0.125,0.56,4,1,FALSE,FALSE
171,frame_0304.jpg,121.6,0.3842,0.4904,0.25,0.32,6,2,FALSE,FALSE
172,frame_0177.jpg,70.8,0.3825,0.46,0.375,0.2,5,3,FALSE,FALSE
173,frame_0308.jpg,123.2,0.3739,0.4587,0.375,0.16,6,3,FALSE,FALSE
174,frame_0013.jpg,5.2,0.3732,0.2714,0.125,1,4,1,FALSE,FALSE
175,frame_0025.jpg,10,0.373,0.2711,0.125,1,3,1,FALSE,FALSE
176,frame_0273.jpg,109.2,0.3727,0.4724,0.375,0.12,5,3,FALSE,FALSE
177,frame_0178.jpg,71.2,0.3702,0.5264,0.25,0.16,5,2,FALSE,FALSE
